Fuel Type,County,Antique,Antique Travel Trailer,Camper,Combination Farm,Combination Non Farm,Commercial,Commercial Motorcycle Trailer,Converter Gear,Farm,Farm Exempt,Federal,Federal Motorcycle Trailer,Fixed Load,For Hire,Government Exempt,House Dolly,Intermittent Trailer,Logging,Medium Electric Passenger,Medium Electric Truck,Mobile Home,Moped,Motorcycle,Motorhome,Neighborhood Electric Passenger,Neighborhood Electric Truck,Off Road Vehicle,Passenger Vehicle,Private School,Snowmobile,Snowmobile Exempt,Snowmobile Vintage,Stage,Taxi Cab,Tow Truck,Trailer,Travel Trailer,Truck,WATV,Total
Electricity Powered,01 ADAMS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,8
Electricity Powered,02 ASOTIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,17
Electricity Powered,03 BENTON,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,0,5,0,0,273,0,0,0,0,0,0,0,0,0,20,0,310
Electricity Powered,04 CHELAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,13,1,0,133,0,0,0,0,0,0,0,0,0,2,0,157
Electricity Powered,05 CLALLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,3,1,0,0,166,0,0,0,0,0,0,0,0,0,2,0,179
Electricity Powered,06 CLARK,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,13,0,0,13,2,14,0,0,1715,0,0,0,0,0,0,0,0,0,11,0,1773
Electricity Powered,07 COLUMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
Electricity Powered,08 COWLITZ,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,1,1,91,0,0,0,0,0,0,0,0,0,3,1,107
Electricity Powered,09 DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,67,0,0,0,0,0,0,0,0,0,5,0,78
Electricity Powered,10 FERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Electricity Powered,11 FRANKLIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,1,0,0,65,0,0,0,0,0,0,0,0,0,11,0,85
Electricity Powered,12 GARFIELD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity Powered,13 GRANT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,14,2,0,38,0,0,0,0,0,0,0,0,0,5,0,69
Electricity Powered,14 GRAYS HARBOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,12,0,0,65,0,0,0,0,0,0,0,0,0,10,0,92
Electricity Powered,15 ISLAND,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,285,0,0,0,0,0,0,0,0,0,9,0,303
Electricity Powered,16 JEFFERSON,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,1,3,0,5,2,0,160,0,0,0,0,0,0,0,0,0,2,0,178
Electricity Powered,17 KING,0,0,0,0,0,55,0,0,0,0,0,0,0,6,110,0,0,2,22,43,0,19,104,6,73,23,0,25832,0,0,0,0,0,0,0,0,0,183,2,26480
Electricity Powered,18 KITSAP,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,4,11,0,7,0,0,1201,0,0,0,0,0,0,0,0,0,16,3,1260
Electricity Powered,19 KITTITAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,1,53,0,0,0,0,0,0,0,0,0,3,1,65
Electricity Powered,20 KLICKITAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18
Electricity Powered,21 LEWIS,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,3,0,0,63,0,0,0,0,0,0,0,0,0,2,0,76
Electricity Powered,22 LINCOLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
Electricity Powered,23 MASON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,92,0,0,0,0,0,0,0,0,0,5,1,106
Electricity Powered,24 OKANOGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,21,0,0,0,0,0,0,0,0,0,2,0,30
Electricity Powered,25 PACIFIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,0,27
Electricity Powered,26 PEND OREILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
Electricity Powered,27 PIERCE,0,0,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,0,5,38,0,0,15,5,8,3,2,2033,0,0,0,0,0,0,0,0,0,103,0,2223
Electricity Powered,28 SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,15,0,0,186,0,0,0,0,0,0,0,0,0,1,1,211
Electricity Powered,29 SKAGIT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,3,0,1,12,0,0,381,0,0,0,0,0,0,0,0,0,7,3,417
Electricity Powered,30 SKAMANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,1,32
Electricity Powered,31 SNOHOMISH,1,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,0,0,5,19,0,3,60,8,22,10,3,5212,0,0,0,0,0,0,0,0,0,94,1,5458
Electricity Powered,32 SPOKANE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,8,2,10,3,0,579,0,2,0,0,0,0,0,0,0,27,0,662
Electricity Powered,33 STEVENS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,5,0,34
Electricity Powered,34 THURSTON,2,0,0,0,1,2,0,0,0,0,0,0,0,0,25,0,0,0,2,5,0,3,8,3,5,0,0,827,0,0,0,0,0,0,0,0,0,14,1,898
Electricity Powered,35 WAHKIAKUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5
Electricity Powered,36 WALLA WALLA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,55
Electricity Powered,37 WHATCOM,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,3,0,15,15,0,6,0,0,928,0,0,0,0,0,0,0,0,0,9,0,982
Electricity Powered,38 WHITMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,2,0,46
Electricity Powered,39 YAKIMA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,90,0,0,0,0,0,0,0,0,0,4,0,103
Electricity Powered,40 STATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,112,0,0,0,0,0,0,0,0,0,2,0,117
Gas Powered,01 ADAMS,55,0,0,1,3,398,0,0,241,42,0,0,1,0,28,0,0,0,0,0,0,11,348,130,0,0,153,14792,0,77,0,1,0,3,2,0,0,5035,302,21623
Gas Powered,02 ASOTIN,39,0,0,0,0,281,0,0,43,5,0,0,0,0,14,0,0,0,0,0,0,13,984,274,0,0,396,14546,0,138,0,2,0,0,0,0,0,5889,561,23185
Gas Powered,03 BENTON,853,0,0,4,4,4052,0,0,609,47,6,0,16,22,75,0,0,0,0,0,0,117,6523,1948,0,0,1358,140847,0,591,0,9,0,25,9,0,0,36504,2104,195723
Gas Powered,04 CHELAN,396,0,0,1,5,1477,0,0,173,19,0,0,4,35,56,0,0,0,0,0,0,83,4102,790,0,0,698,54342,0,1551,0,15,1,8,2,0,0,19042,1387,84187
Gas Powered,05 CLALLAM,399,0,0,0,5,1259,0,0,44,8,0,0,3,10,55,0,0,3,0,0,0,74,2771,1245,0,0,583,48239,0,38,0,0,1,3,6,0,0,18273,542,73561
Gas Powered,06 CLARK,1406,0,0,0,6,7907,0,0,93,31,3,0,9,113,172,0,0,0,0,0,0,417,13834,2707,0,0,1856,321760,2,976,0,7,0,19,7,0,0,71391,1878,424594
Gas Powered,07 COLUMBIA,29,0,0,1,0,77,0,0,97,7,0,0,2,0,3,0,0,0,0,0,0,6,252,66,0,0,141,2987,0,118,0,2,0,0,1,0,0,1457,154,5400
Gas Powered,08 COWLITZ,696,0,0,0,1,2044,0,0,61,18,1,0,2,15,64,0,0,1,0,0,0,87,4093,1121,0,0,690,72400,0,229,0,0,0,31,2,0,0,24406,736,106698
Gas Powered,09 DOUGLAS,177,0,0,1,4,707,0,0,155,25,0,0,3,12,37,0,0,0,0,0,0,9,1525,395,0,0,318,25205,0,485,0,3,0,0,0,0,0,9352,590,39003
Gas Powered,10 FERRY,24,0,0,0,0,74,0,0,20,24,0,0,0,0,3,0,0,0,0,0,0,2,192,88,0,0,71,2748,0,91,0,0,0,0,2,0,0,1990,288,5617
Gas Powered,11 FRANKLIN,287,0,0,5,9,2369,0,0,397,118,0,0,10,6,68,0,0,0,0,0,0,27,2575,662,0,0,683,61655,0,313,0,2,0,11,2,0,0,16685,1239,87123
Gas Powered,12 GARFIELD,9,0,0,1,0,27,0,0,95,14,0,0,1,0,2,0,0,0,0,0,0,0,57,31,0,0,166,1183,0,84,0,3,0,0,0,0,0,643,37,2353
Gas Powered,13 GRANT,387,0,0,16,12,1657,0,0,572,74,19,0,19,7,104,0,0,0,0,0,0,41,2667,883,0,0,773,55943,2,438,0,0,0,5,9,0,0,19833,2188,85649
Gas Powered,14 GRAYS HARBOR,286,0,0,0,3,1050,0,0,65,18,0,0,4,22,60,0,0,0,0,0,0,236,2201,820,0,0,672,43742,0,36,0,0,0,22,4,0,0,17335,300,66876
Gas Powered,15 ISLAND,401,0,0,0,5,1041,0,0,44,9,0,0,8,4,37,0,0,0,0,0,0,103,4192,975,0,0,414,59755,1,144,0,5,0,12,1,0,0,17638,416,85205
Gas Powered,16 JEFFERSON,207,0,0,0,1,373,0,0,16,25,0,0,2,4,25,0,0,0,0,0,0,51,1183,508,0,0,75,19959,0,16,0,0,0,1,1,0,0,6988,105,29540
Gas Powered,17 KING,4862,0,0,0,60,41431,0,0,117,17,47,0,34,1470,865,0,0,0,0,0,0,1874,47683,6329,0,0,6534,1385141,109,3929,0,26,7,192,59,0,0,173461,5092,1679339
Gas Powered,18 KITSAP,1357,0,0,0,6,3860,0,0,48,16,0,0,13,34,99,0,0,0,0,0,0,298,12391,2527,0,0,2004,202958,7,310,0,2,3,34,6,0,0,51654,1579,279206
Gas Powered,19 KITTITAS,356,0,0,1,6,1043,0,0,176,15,1,0,7,7,30,0,0,0,0,0,0,105,2505,539,0,0,858,26832,0,1868,2,15,0,15,10,0,0,10635,1605,46631
Gas Powered,20 KLICKITAT,92,0,0,1,0,281,0,0,102,20,0,0,1,1,22,0,0,0,0,0,0,7,766,206,0,0,174,10601,0,99,0,1,0,1,1,0,0,4855,105,17336
Gas Powered,21 LEWIS,660,0,0,1,3,1266,0,0,211,91,0,0,6,3,65,0,0,2,0,0,0,75,2925,914,0,0,739,48524,1,122,0,0,0,22,3,1,0,19573,835,76042
Gas Powered,22 LINCOLN,58,0,0,2,1,304,0,0,324,36,0,0,3,1,15,0,0,0,0,0,0,14,424,177,0,0,207,7191,0,142,0,2,0,0,1,0,0,3575,312,12789
Gas Powered,23 MASON,380,0,0,0,1,712,0,0,37,13,0,0,3,12,37,0,0,0,0,0,0,50,2539,887,0,0,765,38393,0,50,0,3,0,7,1,0,0,15219,325,59434
Gas Powered,24 OKANOGAN,204,0,0,3,2,619,0,0,318,8,0,0,11,4,44,0,0,0,0,0,0,24,1415,476,0,0,348,25474,0,878,0,10,0,16,2,0,0,13024,1374,44254
Gas Powered,25 PACIFIC,132,0,0,0,0,234,0,0,50,9,0,0,0,0,21,0,0,0,0,0,0,54,768,310,0,0,110,13786,0,3,0,0,0,1,4,0,0,5928,143,21553
Gas Powered,26 PEND OREILLE,65,0,0,0,0,245,0,0,33,2,0,0,2,0,23,0,0,0,0,0,0,4,526,201,0,0,182,7828,0,160,0,0,0,0,1,0,0,3911,647,13830
Gas Powered,27 PIERCE,3645,0,0,1,39,15532,0,0,133,34,2,0,26,341,334,0,0,0,0,0,0,818,26182,5334,0,0,4839,559504,23,1518,3,12,0,58,27,0,0,126125,3786,748316
Gas Powered,28 SAN JUAN,84,0,0,0,1,472,0,0,29,2,0,0,5,16,9,0,0,0,0,0,0,141,753,145,0,0,46,11191,0,12,0,0,0,5,3,0,0,4333,56,17303
Gas Powered,29 SKAGIT,781,0,0,3,11,3382,0,0,233,41,0,0,5,20,116,0,0,1,0,0,0,207,6711,1625,0,0,1337,98313,3,544,0,5,0,25,3,0,0,29197,1511,144074
Gas Powered,30 SKAMANIA,83,0,0,0,1,119,0,0,9,8,0,0,0,0,17,0,0,0,0,0,0,10,626,158,0,0,91,9144,0,74,0,0,0,1,2,0,0,3404,98,13845
Gas Powered,31 SNOHOMISH,3008,0,0,0,39,25358,0,0,155,42,1,0,83,264,462,0,0,0,0,0,0,508,28607,5917,0,0,4739,587626,42,2458,0,16,0,86,23,0,0,110870,5090,775394
Gas Powered,32 SPOKANE,1855,0,0,2,13,12234,0,0,473,58,14,0,14,78,183,0,0,0,0,0,0,172,17055,4445,0,0,4283,329163,24,1653,0,17,0,84,34,0,0,88350,7362,467566
Gas Powered,33 STEVENS,254,0,0,2,2,554,0,0,239,32,0,0,3,0,19,0,0,0,0,0,0,13,1649,649,0,0,539,24970,0,525,1,9,0,2,4,0,0,12536,2636,44638
Gas Powered,34 THURSTON,1338,0,0,2,11,3951,0,0,153,50,0,0,12,143,667,0,0,0,0,0,0,216,11212,2435,0,0,2275,200365,2,285,6,11,6,25,7,0,0,51246,1935,276353
Gas Powered,35 WAHKIAKUM,34,0,0,0,0,65,0,0,16,5,0,0,0,0,4,0,0,0,0,0,0,9,147,66,0,0,28,2581,0,3,0,0,0,0,0,0,0,1263,49,4270
Gas Powered,36 WALLA WALLA,230,0,0,2,1,875,0,0,151,24,0,0,10,21,24,0,0,0,0,0,0,185,1858,449,0,0,411,31528,1,152,0,2,0,1,2,0,0,10013,462,46402
Gas Powered,37 WHATCOM,980,0,0,0,5,5368,0,0,95,85,0,0,7,45,93,0,0,0,0,0,0,294,7396,2855,0,0,923,153017,1,490,0,1,7,19,5,0,0,36717,732,209135
