CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
"Aberdeen, WA",10140,2022,31,31,0,0,0,0,0,36,28,18,0,0,0,31,0
"Akron, OH",10420,2022,90,73,17,0,0,0,0,84,60,37,0,0,27,63,0
"Albany, GA",10500,2022,88,46,37,4,1,0,0,151,84,48,0,0,0,88,0
"Albany, OR",10540,2022,90,77,13,0,0,0,0,70,54,22,0,0,0,90,0
"Albany-Schenectady-Troy, NY",10580,2022,120,99,21,0,0,0,0,83,56,40,0,0,82,38,0
"Albuquerque, NM",10740,2022,91,41,46,2,1,0,1,331,76,51,1,8,0,38,44
"Amarillo, TX",11100,2022,59,59,0,0,0,0,0,49,44,39,0,0,58,1,0
"Americus, GA",11140,2022,61,52,9,0,0,0,0,93,58,43,0,0,61,0,0
"Ann Arbor, MI",11460,2022,59,59,0,0,0,0,0,44,38,33,0,0,59,0,0
"Appleton, WI",11540,2022,31,26,5,0,0,0,0,74,53,37,0,0,0,31,0
"Ardmore, OK",11620,2022,90,78,11,1,0,0,0,136,58,26,0,0,21,69,0
"Arkadelphia, AR",11660,2022,57,56,1,0,0,0,0,51,42,33,0,0,57,0,0
"Ashtabula, OH",11780,2022,26,25,1,0,0,0,0,77,46,41,0,0,26,0,0
"Athens, OH",11900,2022,29,28,1,0,0,0,0,52,40,22,0,0,0,29,0
"Athens-Clarke County, GA",12020,2022,90,64,26,0,0,0,0,87,65,45,0,0,16,74,0
"Atlanta-Sandy Springs-Roswell, GA",12060,2022,121,79,42,0,0,0,0,82,62,45,1,7,63,50,0
"Augusta-Richmond County, GA-SC",12260,2022,99,67,32,0,0,0,0,99,60,44,0,0,32,67,0
"Augusta-Waterville, ME",12300,2022,61,61,0,0,0,0,0,50,44,40,0,0,61,0,0
"Austin-Round Rock, TX",12420,2022,32,25,7,0,0,0,0,66,53,40,1,2,13,16,0
"Bakersfield, CA",12540,2022,90,28,44,16,2,0,0,152,127,64,0,0,0,90,0
"Baltimore-Columbia-Towson, MD",12580,2022,120,94,26,0,0,0,0,67,59,44,0,6,70,44,0
"Bangor, ME",12620,2022,150,143,7,0,0,0,0,69,46,36,0,0,91,59,0
"Baraboo, WI",12660,2022,31,26,5,0,0,0,0,74,51,33,0,0,0,31,0
"Barnstable Town, MA",12700,2022,59,59,0,0,0,0,0,48,40,37,0,0,59,0,0
"Baton Rouge, LA",12940,2022,121,73,47,1,0,0,0,115,77,46,1,0,95,25,0