attributes.ExitNumber,geometry.x,geometry.y
1 A,-122.67289510988658,45.6217068871334
1 C,-122.6671873195742,45.627693986717325
2,-122.66170209636194,45.64462647537196
3,-122.66328588817734,45.65427776692005
4,-122.66459709933368,45.67156705568538
5,-122.66385789606025,45.687682584546955
7 A,-122.65287710107106,45.71263847516081
7 B,-122.65454942746192,45.71730024172571
9,-122.66100567206165,45.745596865511644
11,-122.66644606162782,45.763170259988264
14,-122.68133336358035,45.80636153627611
16,-122.69819105993734,45.842609180719315
21,-122.74054718151196,45.90250118254067
22,-122.75344941612856,45.92364517261958
27,-122.82094794819024,45.97652150850597
30,-122.84399804519657,46.00364861006022
32,-122.85757164560228,46.037467729337074
36 AB,-122.87349977612492,46.09711925470125
39,-122.89760726073207,46.14045396749688
40,-122.90129404271535,46.153556146945064
42,-122.89926683812668,46.18029189745197
46,-122.88789736152418,46.22902485487296
48,-122.88449651854461,46.25619695308582
49,-122.90024650554615,46.280731519147025
52,-122.91445621741462,46.32021652974205
57,-122.90313622657317,46.38539074118941
59,-122.89037780406623,46.41568453495116
60,-122.88898791176287,46.43591673630606
63,-122.88398915356255,46.4708944372009
68,-122.87651303982611,46.54278545867617
71,-122.88398752036134,46.57912800057142
72,-122.90449436302238,46.60213026916435
74,-122.92779316108066,46.622196574629626
76,-122.95373829982097,46.643379672540846
77,-122.9768718108397,46.656330602030586
79,-122.97849098881207,46.672381097487914
81,-122.97136555850027,46.6994002283554
82,-122.9761197664125,46.71761339863903
88,-123.0095031858246,46.79835971253209
95,-122.96231367338864,46.89165038517023
99,-122.93898952430159,46.94749519069977
101,-122.9303556413304,46.97613384147028
102,-122.91397649919924,46.99669908389953
103,-122.9070799559678,47.008528213116854
104,-122.90586851489569,47.0171168729417
105,-122.89385369951728,47.029852210721266
107,-122.85938188386743,47.04035337478236
108,-122.84329811931373,47.04458239749142
109,-122.82218839584448,47.04698695063531
111,-122.787872723215,47.05973139692843
114,-122.72537403724078,47.06792969010899
116,-122.67593709583328,47.081277317873386
119,-122.63056341172143,47.091197464065516
122A,-122.56257990508838,47.115318297370116
122B,-122.54788269331851,47.123829750171126
124,-122.53059949920728,47.13414006450776
126,-122.50871717664555,47.144773798297265
128,-122.46650317916729,47.176321938860106
129,-122.46305904066759,47.18747229489734
132,-122.46265026934256,47.215241323108465
134,-122.41641503819919,47.23845804911509
135,-122.4109751154393,47.239024756562046
136 A,-122.38976933100083,47.24143506824757
137,-122.36320907482612,47.240589668519526
142 A,-122.30819143746794,47.28425479858251
143,-122.29868270735598,47.3116110572059
147,-122.29581942433504,47.353032929860134
149 A,-122.28999097851712,47.38594047308788
151,-122.28962266473432,47.41627061668575
152,-122.27470942259116,47.428712485110346
153,-122.26475208112275,47.452013131933704
154 B,-122.26350662892521,47.45642518629497
156,-122.27102397071616,47.477579959242256
161,-122.30388743492024,47.542185518781075
163,-122.32062576220983,47.566044279198195
164 B,-122.32075605361042,47.58994744219996
165,-122.32682473689522,47.603753183027074
166,-122.33007947651849,47.613159017985645
167,-122.32827196366014,47.61896399347953
168 A,-122.32400536889244,47.632426367903484
168 B,-122.32262857147533,47.63862000975832
,-122.32247258944825,47.65539327703571
169,-122.32234218170225,47.656009406225564
170,-122.32171991571414,47.67003510319774
,-122.3206620247515,47.67690650975061
171,-122.32042764504118,47.67715365201448
172,-122.32446761279458,47.68557519164183
,-122.32934454999767,47.69575364867425
173,-122.32938784651138,47.70251950100455
174,-122.3242862881512,47.71852191044897
175,-122.32416545888204,47.72961581946279
,-122.32977265330777,47.74369593776342
176,-122.32964723397896,47.75102330203837
178,-122.31705236058006,47.78026552548152
179,-122.31547847784753,47.79509144297376
181 A,-122.30059062703243,47.80929412606903
181 B,-122.28495282388425,47.81762982842205
182,-122.2701075702252,47.82555032309386
183,-122.25893433033548,47.84328737889305
186,-122.2369577594552,47.87906973952897
,-122.21716610744906,47.89414465754583
189,-122.21250029666786,47.901577161088056
192,-122.1991347314113,47.95197577722611
193,-122.19199094840819,47.97267390087272
194,-122.1905599083665,47.976031248817044
195,-122.18295964097568,47.987563287905026
199,-122.18365935461658,48.0487266533734
200,-122.18476882232542,48.06813795414915
202,-122.18472778756785,48.09599777626244
206,-122.18691234269131,48.14228689476664
208,-122.19943942183527,48.18423234624214
210,-122.21434826371039,48.2063281505483
212,-122.23743723364282,48.235270875886684
215,-122.26491770774841,48.2647143138726
218,-122.31242531644175,48.30528937591757
221,-122.33449391265678,48.33735478391349
224,-122.33531391827655,48.37775323663279
225,-122.33046050474867,48.39539899585591
226,-122.33149406533101,48.41359640592968
227,-122.34105529167964,48.43131101356753
229,-122.34114314648517,48.44697675216702
230,-122.34141512814152,48.46000718910657
231,-122.34160410328943,48.480684650606634
232,-122.3367714712797,48.50344819994331
236,-122.3502009691451,48.55316477683225
240,-122.3545679756074,48.617470432644204
242,-122.36379453836054,48.64386941368752
246,-122.39962930647773,48.68816023777702
250,-122.47540019148272,48.711446099963005
252,-122.47370832894043,48.72535179843019
253,-122.46594124523367,48.7452152556464
254,-122.46221228974393,48.75368676169345
255,-122.46222831588861,48.76816105727684
256 AB,-122.47245202410781,48.7795714639017
257,-122.49782008644894,48.78358773343454
258,-122.51086123909911,48.786701213820315
260,-122.54468476760859,48.8138630642213
263,-122.58412135658027,48.85526804538507
266,-122.59184520418995,48.889032620617854
270,-122.65623963147185,48.93285520012401
274,-122.72019255338388,48.972556366341195
275,-122.73284236775109,48.9841695596124
276,-122.74830341545542,48.99565753056868
1 B,-122.6716912752292,45.622917793992706
118,-122.64839839195822,47.08700485041677
136 B,-122.38651083227957,47.2411858429142
142 B,-122.30709900117482,47.28746051447698
262,-122.57368759800171,48.84483145058327
1 A,-122.66743914828278,45.62769645229767
1 C,-122.66255413288098,45.63588698823333
1 D,-122.6620036599619,45.64214592456187
3,-122.66716625430863,45.66342047130778
4,-122.66471310056401,45.68444392457155
5,-122.6586363531803,45.69831975024817
7,-122.65689887609486,45.731284716850844
9,-122.66379310545706,45.75357440345884
11,-122.67496405040617,45.78840561937244
14,-122.68883771614342,45.82153874296269
16,-122.70471929232342,45.855729217598174
21,-122.74996127061057,45.917606720346164
22,-122.76149486820009,45.93180041253094
27,-122.82838731570918,45.983691295813614
30,-122.85251924986824,46.02327150174597
32,-122.8605646097978,46.04503509431407
36 AB,-122.88370374686129,46.11342796177202
39,-122.89986092606964,46.14888509864364
40,-122.90312266576163,46.16064760824412
42,-122.89624039953736,46.188831979281865
46,-122.88692396014044,46.23886962427351
48,-122.89130761398157,46.26510302924204
49,-122.90589634642924,46.289719292016606
52,-122.91069123394117,46.326987146961095
57,-122.90067848274298,46.39535732663519
59,-122.89119460558408,46.42113156546265
60,-122.88800434281518,46.443974996276616
63,-122.88159920999459,46.4803461079906
68,-122.8767503642181,46.55317711177727
71,-122.89284533095444,46.58802274495899
72,-122.91003781550211,46.60895912605551
74,-122.93874102817259,46.6310142177568
76,-122.96324149535167,46.64789283697084
77,-122.97946110551469,46.664581767664096
79,-122.97206726319175,46.67984491386635
88,-123.00353448237588,46.80883908709067
99,-122.93638685442941,46.95700583513105
101,-122.92362428683842,46.98493156830892
102,-122.91037501397092,47.00323485798651
103,-122.90596999076942,47.021822519968765
104,-122.90214403226298,47.02414699560174
105 AB,-122.87542849207524,47.036797172902936
107,-122.84679170715748,47.04343275099775
109,-122.81598594929872,47.05088860849876
111,-122.75903178137534,47.06437414817185
114,-122.71058163763028,47.069376345742405
116,-122.65901755025162,47.084572679946675
118,-122.63619931054306,47.08993140673725
119,-122.61787429391721,47.094926771876196
122B,-122.5405499183461,47.12862832889513
123AB,-122.53638506399005,47.130954991187046
124,-122.52065187728218,47.139471569179804
126,-122.49984941776448,47.14983554852673
127,-122.4728734207972,47.1701120279748
129,-122.46238857231967,47.196571630585424
132 B,-122.45008462037359,47.2303467647952
133,-122.42452103243686,47.235876454223934
135,-122.40154986237205,47.24047464040826
136,-122.37963709612637,47.240947820249865
137,-122.35138697835669,47.24112161797412
142 B,-122.30538211283914,47.294063618905525
143,-122.29460036894953,47.32456264050989
147,-122.29552546633495,47.362835822671464
149,-122.29249346094602,47.400954472351756
151,-122.2828775650318,47.42383622134983
152,-122.26942934965619,47.43808184382022
154 A,-122.2671282118421,47.46544051536776
154 B,-122.26895427411695,47.47159073817707
156,-122.26778274390989,47.48610612748383
157,-122.27826597853415,47.50352184849387
158,-122.28420418160766,47.510987998255395
161,-122.31708875062326,47.551648566767135
162,-122.32205410324325,47.56143527422307
163 A,-122.31955739225364,47.57778489575913
163 B,-122.31930234853502,47.57935594813123
165 A,-122.33115275542697,47.61145709486255
165 B,-122.3306233430013,47.61273121515206
166,-122.32871424721579,47.62324897772347
167,-122.32646670641581,47.6305160406832
,-122.32619345871734,47.630409111534846
168 A,-122.32295460655429,47.64619336400552
168 B,-122.3229034029989,47.64665483348146
169,-122.3222683782804,47.670893108472896
171,-122.32262784386943,47.68361747941463
172,-122.32949150476898,47.69410325659088
175,-122.32685535941553,47.737291293381524
,-122.32952777249369,47.75000707396019
176,-122.32707361319619,47.75908930638156
177,-122.31661640073474,47.78713319005331
179,-122.31312585007419,47.80256018389535
,-122.2884728712702,47.81621732705899
182,-122.26033302731854,47.83985964788214
183,-122.25557508260141,47.853743931038366
186,-122.23045973855277,47.88475086369818
,-122.21294643707918,47.90460694338227
192,-122.19784733819644,47.96842243150074
194,-122.18325554137648,47.98625613489743
198,-122.18170740816348,48.044781379978595
199,-122.18472773229571,48.05572965435453
200,-122.18497073166873,48.07994697587442
202,-122.18505338571246,48.10388933383797
206,-122.18987315292121,48.15747910291107
208,-122.20610294694029,48.191289708979454
210,-122.21812829315789,48.213649005866316
212,-122.24461440832047,48.24210770022446
215,-122.27280442482704,48.27084712809636
218,-122.32064734178496,48.310891438065966
221,-122.33627338302679,48.345335215796446
225,-122.33093695529237,48.403724086583175
226,-122.33493559384749,48.42087274410633
227,-122.34116828096428,48.44006184695618
229,-122.3415748713679,48.45580301652826
230,-122.34231759596193,48.47293861051988
232,-122.3413272710026,48.51080785640617
236,-122.3489219226079,48.560665249994145
240,-122.35723825087878,48.62510952432116
242,-122.36725813871698,48.65135081700032
246,-122.39880313657784,48.687696926839266
250,-122.47389041047575,48.71735012103476
252,-122.467576780131,48.73553546080406
253,-122.46441604864434,48.74883401297748
254,-122.46179180560947,48.756623605574475
255,-122.46676450535962,48.77444918381137
256,-122.49274135709162,48.783182502085346
257,-122.50596683015515,48.78491115669286
258,-122.52254017260746,48.79146872363237
260,-122.55228609748615,48.821140316236836
262,-122.57935608006203,48.85029471706874
263,-122.5883086927825,48.86319449527152
266,-122.60242677431202,48.89509968958623
270,-122.66730728746191,48.93815281726028
276,-122.75456181959672,48.999305979102324
2,-122.66276282454797,45.652469675965754
95,-122.96038196424718,46.89842753524568
108,-122.8322177716682,47.0461059896237
142 A,-122.30618913967794,47.29168600487731
231,-122.33616987921184,48.48669527779491
3,-120.50266984128073,46.93112395878474
11,-120.38296235961778,46.84594441940889
26,-120.47597880609278,46.6810836669983
29,-120.49893568074177,46.649277051842105
30,-120.52289291209857,46.6348172922624
31,-120.51520382833526,46.62955675106425
33 A,-120.49185818004842,46.61458465387195
33 B,-120.48800374293346,46.60753140181461
34,-120.47480237786617,46.58969951931228
36,-120.47218868218444,46.56849884703133
37,-120.4707811040136,46.54536191391942
40,-120.45580975110776,46.51635814090751
44,-120.40041878021503,46.47427794967512
50,-120.32061509541973,46.41702643449238
52,-120.28425245115763,46.40566443785785
54,-120.24703299351597,46.39433894238362
58,-120.1829590560388,46.349209599567345
63,-120.08488284518505,46.3284729616402
67,-120.02851689258051,46.30596300594937
69,-119.98617586616395,46.30607654945145
75,-119.884688452164,46.25871692464378
80,-119.79756381254187,46.22455629591067
88,-119.63786717326902,46.24185907912762
93,-119.54300464188162,46.26548445561266
96,-119.4819452858435,46.25208325321311
102,-119.37562819617287,46.253017682715885
104,-119.35094755635988,46.22189788495058
114,-119.20219365671231,46.147961704761585
122,-119.22488920204052,46.031730899166895
131,-119.33755177580106,45.94989414287664
73,-119.92415934437378,46.2705408831303
82,-119.74569089372676,46.215864676273156
109,-119.26909948478784,46.19443686394743
113,-119.20243225876979,46.16474419747946
11,-120.3731203767499,46.84169350900839
26,-120.48534572750451,46.67310431605976
29,-120.50790657200339,46.64528670533228
30 A,-120.51871325538974,46.63230133479946
30 B,-120.51743469057551,46.63146708403101
31,-120.50132377388788,46.623659208157626
33,-120.48234557175591,46.60107067689768
34,-120.4718151871545,46.58134267142468
36,-120.47028928018214,46.557258935222215
38,-120.47142627214963,46.53161302353676
40,-120.45045008860761,46.506965960657816
44,-120.39024337723056,46.46851961329099
50,-120.30703040882639,46.415004433128274
52,-120.2723380792293,46.402359555311385
54,-120.23582500141751,46.38897835804251
58,-120.17135641773376,46.342016969766576
63,-120.07204660198158,46.32378814476552
67,-120.01315276577483,46.30626660721182
69,-119.97117321761355,46.30565742594208
73,-119.91484365293267,46.268800370542664
75,-119.87345349341315,46.25326166945666
80,-119.78264605056113,46.221508341154745
82,-119.73660184603973,46.21134865496789
88,-119.62617842668602,46.246483507945776
93,-119.52822461658592,46.262632672872506
96,-119.46777652223577,46.25300632621974
102,-119.35967387988259,46.23977563037797
104,-119.3449686245614,46.213371708429435
109,-119.26017345044586,46.190420047963514
113,-119.20160538203378,46.16161516942646
114,-119.2019055773589,46.13754496196563
122,-119.22560779731498,46.019520568788366
131,-119.33305274513773,45.941458422154376
3,-120.49835802959285,46.926657649414466
3,-122.31213053243302,47.59271911943746
6,-122.25391380961447,47.58925235354843
7 A,-122.23987795983871,47.59080538351456
7 B,-122.23484136706846,47.588418258041166
8,-122.21224618288238,47.57854832653215
,-122.19718768606545,47.57946720001765
9,-122.1969997838406,47.579515610060156
,-122.19395873598995,47.579696711004665
10 A,-122.18865315623002,47.579112762860454
